EmployeeID,Department,JobRole,Age,MonthlyIncome,YearsAtCompany,OverTime,Attrition,AttritionProbability,RiskLevel,ModelVersion,EngagementScore,PerformanceRating,SkillGapCount,SkillGapScore,SkillGaps,TopMissingSkill,Recommendation,CourseTitle,Provider,DurationHours,Priority,EngagementBand
81,Sales,Sales Executive,59,7637,21,No,No,0.6147,HIGH,v1,31.7,3,7,25.25,"Microsoft Excel, Speaking, Active Listening, Adobe InDesign, Adobe Acrobat",Microsoft Excel,Learn Microsoft Excel,Advanced Spreadsheet Modelling,Microsoft Learn,12,9.45,Low
83,Research & Development,Healthcare Representative,36,10096,17,No,No,0.0591,LOW,v1,63.4,3,11,40.13,"Microsoft Office, Microsoft Outlook, Speaking, Google Workspace, Linux",Microsoft Office,Learn Microsoft Office,Productivity Suite Fundamentals,Microsoft Learn,10,6.75,Moderate
84,Research & Development,Manager,55,14756,5,Yes,No,0.0382,LOW,v1,73.4,3,7,25.62,"Reading Comprehension, Active Listening, Active Learning, Apple macOS, Atlassian JIRA",Reading Comprehension,Learn Reading Comprehension,Business Writing for Clarity,LinkedIn Learning,8,6.0,High
85,Research & Development,Manufacturing Director,36,6499,6,No,No,0.4883,MEDIUM,v1,41.6,3,14,54.63,"SAP, Microsoft PowerPoint, Microsoft Excel, Microsoft Outlook, Monitoring",SAP,Learn SAP,Enterprise Resource Planning Essentials,SAP,24,7.762,Moderate
86,Research & Development,Research Scientist,45,9724,1,No,No,0.0317,LOW,v1,40.0,3,5,18.12,"Speaking, MATLAB, IBM SPSS Statistics, SAS, Adobe Photoshop",Speaking,Learn Speaking,Listening and Influence at Work,LinkedIn Learning,6,6.18,Moderate
88,Research & Development,Research Scientist,35,2194,3,No,No,0.4838,MEDIUM,v1,38.3,3,13,50.48,"Microsoft Excel, R, Microsoft Office, Science, Speaking",Microsoft Excel,Learn Microsoft Excel,Advanced Spreadsheet Modelling,Microsoft Learn,12,7.762,Low
90,Research & Development,Research Scientist,36,3388,1,Yes,Yes,0.7765,HIGH,v1,53.3,3,12,47.86,"Microsoft Excel, R, Microsoft Office, Science, Active Learning",Microsoft Excel,Learn Microsoft Excel,Advanced Spreadsheet Modelling,Microsoft Learn,12,9.45,Moderate
91,Sales,Sales Executive,59,5473,4,No,No,0.4741,MEDIUM,v1,43.3,3,12,45.0,"Microsoft PowerPoint, Microsoft Office, Microsoft Outlook, Speaking, Adobe Creative Cloud",Microsoft PowerPoint,Learn Microsoft PowerPoint,Presenting Data to Decision Makers,LinkedIn Learning,10,7.762,Moderate
94,Research & Development,Research Scientist,29,2703,5,No,No,0.0128,LOW,v1,60.0,4,11,43.62,"Microsoft Excel, R, Microsoft Office, Active Learning, Critical Thinking",Microsoft Excel,Learn Microsoft Excel,Advanced Spreadsheet Modelling,Microsoft Learn,12,6.75,Moderate
95,Research & Development,Research Scientist,31,2501,1,No,No,0.4042,MEDIUM,v1,53.3,3,9,33.87,"Writing, Science, Critical Thinking, Active Listening, MATLAB",Writing,Learn Writing,Business Writing for Clarity,LinkedIn Learning,8,7.331,Moderate
96,Research & Development,Research Scientist,32,6220,10,No,No,0.0504,LOW,v1,46.7,3,9,34.37,"Writing, Speaking, Critical Thinking, Reading Comprehension, Active Listening",Writing,Learn Writing,Business Writing for Clarity,LinkedIn Learning,8,6.375,Moderate
97,Research & Development,Laboratory Technician,36,3038,1,No,No,0.4545,MEDIUM,v1,75.0,3,11,36.87,"Microsoft Office, Reading Comprehension, SAP, Microsoft Word, Google Docs",Microsoft Office,Learn Microsoft Office,Productivity Suite Fundamentals,Microsoft Learn,10,7.762,High
98,Research & Development,Manufacturing Director,31,4424,11,No,No,0.0328,LOW,v1,80.0,4,7,30.25,"SAP, Microsoft PowerPoint, Microsoft Excel, Microsoft Office, Microsoft Outlook",SAP,Learn SAP,Enterprise Resource Planning Essentials,SAP,24,6.75,High
100,Sales,Sales Executive,35,4312,15,No,No,0.0928,LOW,v1,35.0,3,13,47.0,"Microsoft Office, Salesforce, Microsoft Outlook, Active Listening, Adobe Creative Cloud",Microsoft Office,Learn Microsoft Office,Productivity Suite Fundamentals,Microsoft Learn,10,6.75,Low
101,Research & Development,Research Director,45,13245,0,Yes,No,0.0327,LOW,v1,55.0,3,7,26.5,"Microsoft Office, Monitoring, Reading Comprehension, Microsoft SharePoint, Active Learning",Microsoft Office,Learn Microsoft Office,Productivity Suite Fundamentals,Microsoft Learn,10,6.75,Moderate
102,Research & Development,Research Director,37,13664,5,No,No,0.1963,LOW,v1,51.7,3,8,30.88,"Science, Monitoring, Critical Thinking, Reading Comprehension, Speaking",Science,Learn Science,Scientific Method in Practice,edX,14,6.18,Moderate
103,Human Resources,Human Resources,46,5021,4,Yes,No,0.5096,MEDIUM,v1,53.3,4,9,34.63,"Microsoft Office, Microsoft Outlook, Speaking, Applicant Tracking System (ATS), Critical Thinking",Microsoft Office,Learn Microsoft Office,Productivity Suite Fundamentals,Microsoft Learn,10,7.762,Moderate
104,Research & Development,Laboratory Technician,30,5126,10,Yes,No,0.6302,HIGH,v1,70.0,3,15,51.74,"Microsoft Excel, Microsoft Office, Reading Comprehension, Active Listening, Microsoft Word",Microsoft Excel,Learn Microsoft Excel,Advanced Spreadsheet Modelling,Microsoft Learn,12,9.45,High
105,Research & Development,Research Scientist,35,2859,6,No,No,0.2016,LOW,v1,45.0,3,8,31.87,"R, Microsoft Office, Writing, Critical Thinking, Active Listening",R,Learn R,Statistical Programming in R,Coursera,24,6.75,Moderate
106,Sales,Sales Executive,55,10239,1,No,No,0.062,LOW,v1,66.7,3,6,22.12,"Microsoft Office, Speaking, Adobe InDesign, Adobe Illustrator, Adobe Photoshop",Microsoft Office,Learn Microsoft Office,Productivity Suite Fundamentals,Microsoft Learn,10,6.75,Moderate
107,Research & Development,Research Scientist,38,5329,13,Yes,No,0.0781,LOW,v1,56.7,3,11,42.24,"R, Microsoft Office, Speaking, Critical Thinking, Reading Comprehension",R,Learn R,Statistical Programming in R,Coursera,24,6.75,Moderate
110,Research & Development,Manufacturing Director,34,4325,5,No,No,0.2344,LOW,v1,43.3,3,8,31.25,"SAP, Microsoft Office, Monitoring, Speaking, Learning Strategies",SAP,Learn SAP,Enterprise Resource Planning Essentials,SAP,24,6.75,Moderate
112,Research & Development,Manufacturing Director,56,7260,6,No,No,0.0564,LOW,v1,55.0,3,11,42.64,"SAP, Microsoft PowerPoint, Microsoft Outlook, Critical Thinking, Reading Comprehension",SAP,Learn SAP,Enterprise Resource Planning Essentials,SAP,24,6.75,Moderate
113,Sales,Sales Representative,23,2322,0,No,No,0.8306,HIGH,v1,46.7,3,14,49.5,"Microsoft Office, Salesforce, Reading Comprehension, IBM SPSS Statistics, Microsoft PowerPoint",Microsoft Office,Learn Microsoft Office,Productivity Suite Fundamentals,Microsoft Learn,10,9.45,Moderate
116,Research & Development,Laboratory Technician,51,2075,4,No,No,0.048,LOW,v1,80.0,4,13,43.87,"Microsoft Office, SAP, Microsoft PowerPoint, Microsoft Word, MEDITECH",Microsoft Office,Learn Microsoft Office,Productivity Suite Fundamentals,Microsoft Learn,10,6.75,High
117,Research & Development,Healthcare Representative,30,4152,11,No,No,0.0687,LOW,v1,61.7,3,8,30.62,"Microsoft Excel, Speaking, Active Listening, Reading Comprehension, Google Workspace",Microsoft Excel,Learn Microsoft Excel,Advanced Spreadsheet Modelling,Microsoft Learn,12,6.75,Moderate
118,Sales,Sales Executive,46,9619,9,No,Yes,0.2329,LOW,v1,71.7,3,12,44.99,"Microsoft Excel, Salesforce, Microsoft Outlook, Active Listening, Speaking",Microsoft Excel,Learn Microsoft Excel,Advanced Spreadsheet Modelling,Microsoft Learn,12,6.75,High
119,Research & Development,Healthcare Representative,40,13503,22,No,No,0.2315,LOW,v1,46.6,4,14,53.5,"Microsoft Excel, Microsoft Office, Salesforce, Speaking, Active Listening",Microsoft Excel,Learn Microsoft Excel,Advanced Spreadsheet Modelling,Microsoft Learn,12,6.75,Moderate
120,Sales,Sales Executive,51,5441,10,Yes,No,0.5008,MEDIUM,v1,70.0,4,10,36.49,"Microsoft Excel, Microsoft Office, Salesforce, Speaking, Adobe InDesign",Microsoft Excel,Learn Microsoft Excel,Advanced Spreadsheet Modelling,Microsoft Learn,12,7.762,High
121,Sales,Sales Executive,30,5209,11,Yes,No,0.3281,LOW,v1,40.0,3,9,30.87,"Microsoft Outlook, Speaking, Adobe Acrobat, Adobe Photoshop, Adobe Illustrator",Microsoft Outlook,Learn Microsoft Outlook,Productivity Suite Fundamentals,Microsoft Learn,10,6.75,Moderate
124,Research & Development,Healthcare Representative,46,10673,10,Yes,No,0.6567,HIGH,v1,33.3,3,11,40.25,"Salesforce, Microsoft Outlook, Active Listening, Reading Comprehension, Google Workspace",Salesforce,Learn Salesforce,Managing the Customer Pipeline,Trailhead,16,9.45,Low
125,Sales,Sales Executive,32,5010,11,No,No,0.4902,MEDIUM,v1,53.4,3,13,46.62,"Microsoft Excel, Salesforce, Microsoft Outlook, Active Listening, Adobe Creative Cloud",Microsoft Excel,Learn Microsoft Excel,Advanced Spreadsheet Modelling,Microsoft Learn,12,7.762,Moderate
126,Research & Development,Research Director,54,13549,4,No,No,0.0928,LOW,v1,36.7,3,9,33.76,"Microsoft Excel, Critical Thinking, Speaking, Writing, IBM SPSS Statistics",Microsoft Excel,Learn Microsoft Excel,Advanced Spreadsheet Modelling,Microsoft Learn,12,6.75,Low
