EmployeeID,Department,JobRole,MissingSkill,Recommendation,CourseID,CourseTitle,Provider,Level,DurationHours,MatchType,SkillImportance,OrgSeverity,AttritionRisk,Priority,Rank
32,Research & Development,Manager,Microsoft PowerPoint,Learn Microsoft PowerPoint,C012,Presenting Data to Decision Makers,LinkedIn Learning,Beginner,10,tag,4.5,HIGH,LOW,6.75,1
32,Research & Development,Manager,Active Learning,Learn Active Learning,C034,Learning How to Learn,Coursera,Beginner,8,tag,3.62,HIGH,LOW,5.43,2
32,Research & Development,Manager,Apple macOS,Learn Apple macOS,C040,Operating Systems for End Users,Apple,Beginner,6,tag,3.5,HIGH,LOW,5.25,3
33,Research & Development,Research Scientist,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,HIGH,9.45,1
33,Research & Development,Research Scientist,Speaking,Learn Speaking,C036,Listening and Influence at Work,LinkedIn Learning,Beginner,6,tag,4.12,HIGH,HIGH,8.652,2
33,Research & Development,Research Scientist,Active Learning,Learn Active Learning,C034,Learning How to Learn,Coursera,Beginner,8,tag,4.12,HIGH,HIGH,8.652,3
35,Sales,Sales Executive,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,LOW,6.75,1
35,Sales,Sales Executive,Microsoft Outlook,Learn Microsoft Outlook,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,LOW,6.75,2
35,Sales,Sales Executive,Adobe Creative Cloud,Learn Adobe Creative Cloud,C020,Digital Image Editing Foundations,Adobe,Beginner,16,tag,3.5,HIGH,LOW,5.25,3
36,Research & Development,Healthcare Representative,Microsoft Outlook,Learn Microsoft Outlook,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,LOW,6.75,1
36,Research & Development,Healthcare Representative,Microsoft Access,Learn Microsoft Access,C009,Relational Databases and Query Design,Coursera,Beginner,18,tag,3.5,HIGH,LOW,5.25,2
36,Research & Development,Healthcare Representative,Monitoring,Learn Monitoring,C039,Performance Tracking and Review,LinkedIn Learning,Beginner,6,tag,3.12,HIGH,LOW,4.68,3
38,Sales,Manager,Monitoring,Learn Monitoring,C039,Performance Tracking and Review,LinkedIn Learning,Beginner,6,tag,4.0,HIGH,MEDIUM,6.9,1
38,Sales,Manager,Critical Thinking,Learn Critical Thinking,C033,Structured Problem Solving,Coursera,Intermediate,12,tag,3.88,HIGH,MEDIUM,6.693,2
38,Sales,Manager,Apple macOS,Learn Apple macOS,C040,Operating Systems for End Users,Apple,Beginner,6,tag,3.5,HIGH,MEDIUM,6.037,3
39,Research & Development,Laboratory Technician,Reading Comprehension,Learn Reading Comprehension,C035,Business Writing for Clarity,LinkedIn Learning,Beginner,8,tag,3.75,HIGH,MEDIUM,6.469,1
39,Research & Development,Laboratory Technician,Active Listening,Learn Active Listening,C015,Running Effective Remote Meetings,LinkedIn Learning,Beginner,6,tag,3.62,HIGH,MEDIUM,6.244,2
39,Research & Development,Laboratory Technician,SAP,Learn SAP,C029,Enterprise Resource Planning Essentials,SAP,Intermediate,24,tag,3.5,HIGH,MEDIUM,6.037,3
40,Research & Development,Healthcare Representative,Salesforce,Learn Salesforce,C026,Managing the Customer Pipeline,Trailhead,Beginner,16,tag,4.5,HIGH,LOW,6.75,1
40,Research & Development,Healthcare Representative,Speaking,Learn Speaking,C036,Listening and Influence at Work,LinkedIn Learning,Beginner,6,tag,4.25,HIGH,LOW,6.375,2
40,Research & Development,Healthcare Representative,Active Listening,Learn Active Listening,C015,Running Effective Remote Meetings,LinkedIn Learning,Beginner,6,tag,4.12,HIGH,LOW,6.18,3
41,Research & Development,Laboratory Technician,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,MEDIUM,7.762,1
41,Research & Development,Laboratory Technician,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,MEDIUM,7.762,2
41,Research & Development,Laboratory Technician,Reading Comprehension,Learn Reading Comprehension,C035,Business Writing for Clarity,LinkedIn Learning,Beginner,8,tag,3.75,HIGH,MEDIUM,6.469,3
42,Sales,Sales Representative,Salesforce,Learn Salesforce,C026,Managing the Customer Pipeline,Trailhead,Beginner,16,tag,4.5,HIGH,LOW,6.75,1
42,Sales,Sales Representative,Active Listening,Learn Active Listening,C015,Running Effective Remote Meetings,LinkedIn Learning,Beginner,6,tag,3.88,HIGH,LOW,5.82,2
42,Sales,Sales Representative,Reading Comprehension,Learn Reading Comprehension,C035,Business Writing for Clarity,LinkedIn Learning,Beginner,8,tag,3.62,HIGH,LOW,5.43,3
45,Research & Development,Research Scientist,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,HIGH,9.45,1
45,Research & Development,Research Scientist,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,HIGH,9.45,2
45,Research & Development,Research Scientist,Writing,Learn Writing,C035,Business Writing for Clarity,LinkedIn Learning,Beginner,8,tag,4.25,HIGH,HIGH,8.925,3
46,Research & Development,Research Scientist,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,LOW,6.75,1
46,Research & Development,Research Scientist,R,Learn R,C002,Statistical Programming in R,Coursera,Intermediate,24,tag,4.5,HIGH,LOW,6.75,2
46,Research & Development,Research Scientist,Science,Learn Science,C038,Scientific Method in Practice,edX,Intermediate,14,tag,4.12,HIGH,LOW,6.18,3
47,Sales,Sales Representative,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,HIGH,9.45,1
47,Sales,Sales Representative,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,HIGH,9.45,2
47,Sales,Sales Representative,Salesforce,Learn Salesforce,C026,Managing the Customer Pipeline,Trailhead,Beginner,16,tag,4.5,HIGH,HIGH,9.45,3
49,Sales,Sales Representative,Salesforce,Learn Salesforce,C026,Managing the Customer Pipeline,Trailhead,Beginner,16,tag,4.5,HIGH,LOW,6.75,1
49,Sales,Sales Representative,Speaking,Learn Speaking,C036,Listening and Influence at Work,LinkedIn Learning,Beginner,6,tag,3.88,HIGH,LOW,5.82,2
49,Sales,Sales Representative,Active Listening,Learn Active Listening,C015,Running Effective Remote Meetings,LinkedIn Learning,Beginner,6,tag,3.88,HIGH,LOW,5.82,3
51,Research & Development,Research Scientist,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,HIGH,9.45,1
51,Research & Development,Research Scientist,Writing,Learn Writing,C035,Business Writing for Clarity,LinkedIn Learning,Beginner,8,tag,4.25,HIGH,HIGH,8.925,2
51,Research & Development,Research Scientist,Science,Learn Science,C038,Scientific Method in Practice,edX,Intermediate,14,tag,4.12,HIGH,HIGH,8.652,3
52,Sales,Sales Executive,Microsoft PowerPoint,Learn Microsoft PowerPoint,C012,Presenting Data to Decision Makers,LinkedIn Learning,Beginner,10,tag,4.5,HIGH,LOW,6.75,1
52,Sales,Sales Executive,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,LOW,6.75,2
52,Sales,Sales Executive,Salesforce,Learn Salesforce,C026,Managing the Customer Pipeline,Trailhead,Beginner,16,tag,4.5,HIGH,LOW,6.75,3
53,Research & Development,Laboratory Technician,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,LOW,6.75,1
53,Research & Development,Laboratory Technician,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,LOW,6.75,2
53,Research & Development,Laboratory Technician,Reading Comprehension,Learn Reading Comprehension,C035,Business Writing for Clarity,LinkedIn Learning,Beginner,8,tag,3.75,HIGH,LOW,5.625,3
54,Research & Development,Laboratory Technician,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,LOW,6.75,1
54,Research & Development,Laboratory Technician,Active Listening,Learn Active Listening,C015,Running Effective Remote Meetings,LinkedIn Learning,Beginner,6,tag,3.62,HIGH,LOW,5.43,2
54,Research & Development,Laboratory Technician,Google Docs,Learn Google Docs,C011,Business Documents That Get Read,LinkedIn Learning,Beginner,8,tag,3.5,HIGH,LOW,5.25,3
55,Research & Development,Laboratory Technician,Active Listening,Learn Active Listening,C015,Running Effective Remote Meetings,LinkedIn Learning,Beginner,6,tag,3.62,HIGH,HIGH,7.602,1
55,Research & Development,Laboratory Technician,SAP,Learn SAP,C029,Enterprise Resource Planning Essentials,SAP,Intermediate,24,tag,3.5,HIGH,HIGH,7.35,2
55,Research & Development,Laboratory Technician,Microsoft Word,Learn Microsoft Word,C011,Business Documents That Get Read,LinkedIn Learning,Beginner,8,tag,3.5,HIGH,HIGH,7.35,3
56,Sales,Sales Executive,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,LOW,6.75,1
56,Sales,Sales Executive,Salesforce,Learn Salesforce,C026,Managing the Customer Pipeline,Trailhead,Beginner,16,tag,4.5,HIGH,LOW,6.75,2
56,Sales,Sales Executive,Speaking,Learn Speaking,C036,Listening and Influence at Work,LinkedIn Learning,Beginner,6,tag,4.0,HIGH,LOW,6.0,3
57,Research & Development,Laboratory Technician,Google Docs,Learn Google Docs,C011,Business Documents That Get Read,LinkedIn Learning,Beginner,8,tag,3.5,HIGH,LOW,5.25,1
57,Research & Development,Laboratory Technician,Microsoft PowerPoint,Learn Microsoft PowerPoint,C012,Presenting Data to Decision Makers,LinkedIn Learning,Beginner,10,tag,3.5,HIGH,LOW,5.25,2
57,Research & Development,Laboratory Technician,Active Learning,Learn Active Learning,C034,Learning How to Learn,Coursera,Beginner,8,tag,3.0,HIGH,LOW,4.5,3
58,Research & Development,Research Director,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,LOW,6.75,1
58,Research & Development,Research Director,Monitoring,Learn Monitoring,C039,Performance Tracking and Review,LinkedIn Learning,Beginner,6,tag,4.0,HIGH,LOW,6.0,2
58,Research & Development,Research Director,Writing,Learn Writing,C035,Business Writing for Clarity,LinkedIn Learning,Beginner,8,tag,3.88,HIGH,LOW,5.82,3
60,Sales,Sales Executive,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,LOW,6.75,1
60,Sales,Sales Executive,Salesforce,Learn Salesforce,C026,Managing the Customer Pipeline,Trailhead,Beginner,16,tag,4.5,HIGH,LOW,6.75,2
60,Sales,Sales Executive,Speaking,Learn Speaking,C036,Listening and Influence at Work,LinkedIn Learning,Beginner,6,tag,4.0,HIGH,LOW,6.0,3
61,Research & Development,Research Scientist,R,Learn R,C002,Statistical Programming in R,Coursera,Intermediate,24,tag,4.5,HIGH,HIGH,9.45,1
61,Research & Development,Research Scientist,Writing,Learn Writing,C035,Business Writing for Clarity,LinkedIn Learning,Beginner,8,tag,4.25,HIGH,HIGH,8.925,2
61,Research & Development,Research Scientist,Science,Learn Science,C038,Scientific Method in Practice,edX,Intermediate,14,tag,4.12,HIGH,HIGH,8.652,3
62,Sales,Sales Executive,Speaking,Learn Speaking,C036,Listening and Influence at Work,LinkedIn Learning,Beginner,6,tag,4.0,HIGH,HIGH,8.4,1
62,Sales,Sales Executive,Active Listening,Learn Active Listening,C015,Running Effective Remote Meetings,LinkedIn Learning,Beginner,6,tag,4.0,HIGH,HIGH,8.4,2
62,Sales,Sales Executive,Adobe Illustrator,Learn Adobe Illustrator,C021,Vector Graphics and Brand Assets,Adobe,Intermediate,14,tag,3.5,HIGH,HIGH,7.35,3
63,Research & Development,Laboratory Technician,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,LOW,6.75,1
63,Research & Development,Laboratory Technician,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,LOW,6.75,2
63,Research & Development,Laboratory Technician,Reading Comprehension,Learn Reading Comprehension,C035,Business Writing for Clarity,LinkedIn Learning,Beginner,8,tag,3.75,HIGH,LOW,5.625,3
64,Research & Development,Laboratory Technician,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,HIGH,9.45,1
64,Research & Development,Laboratory Technician,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,HIGH,9.45,2
64,Research & Development,Laboratory Technician,Active Listening,Learn Active Listening,C015,Running Effective Remote Meetings,LinkedIn Learning,Beginner,6,tag,3.62,HIGH,HIGH,7.602,3
65,Research & Development,Laboratory Technician,Microsoft Excel,Learn Microsoft Excel,C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,tag,4.5,HIGH,HIGH,9.45,1
65,Research & Development,Laboratory Technician,Microsoft Office,Learn Microsoft Office,C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,tag,4.5,HIGH,HIGH,9.45,2
65,Research & Development,Laboratory Technician,MEDITECH,Learn MEDITECH,C032,Clinical Records and Patient Data Systems,HIMSS,Intermediate,18,tag,3.5,HIGH,HIGH,7.35,3
68,Sales,Sales Executive,Microsoft PowerPoint,Learn Microsoft PowerPoint,C012,Presenting Data to Decision Makers,LinkedIn Learning,Beginner,10,tag,4.5,HIGH,HIGH,9.45,1
68,Sales,Sales Executive,Salesforce,Learn Salesforce,C026,Managing the Customer Pipeline,Trailhead,Beginner,16,tag,4.5,HIGH,HIGH,9.45,2
