EmployeeID,Department,JobRole,ReviewPeriod,EngagementScore,JobSatisfactionScore,JobInvolvementScore,EnvironmentSatisfactionScore,WorkLifeBalanceScore,RelationshipSatisfactionScore,PerformanceRating,TrainingTimesLastYear
23,Sales,Manager,2026-H1,55.0,100.0,33.3,0.0,66.7,66.7,3,3
24,Research & Development,Research Scientist,2026-H1,83.4,100.0,66.7,100.0,66.7,66.7,3,3
26,Research & Development,Manufacturing Director,2026-H1,60.0,66.7,100.0,0.0,33.3,100.0,3,5
27,Sales,Sales Representative,2026-H1,35.0,0.0,33.3,66.7,66.7,33.3,4,4
28,Research & Development,Research Director,2026-H1,43.3,33.3,66.7,0.0,66.7,66.7,3,4
30,Research & Development,Research Scientist,2026-H1,80.0,100.0,66.7,66.7,66.7,100.0,3,6
31,Research & Development,Research Scientist,2026-H1,40.0,0.0,66.7,33.3,66.7,66.7,3,2
32,Research & Development,Manager,2026-H1,65.0,66.7,66.7,66.7,33.3,100.0,3,3
33,Research & Development,Research Scientist,2026-H1,20.0,0.0,0.0,33.3,66.7,33.3,4,5
35,Sales,Sales Executive,2026-H1,60.0,33.3,66.7,66.7,66.7,100.0,3,2
36,Research & Development,Healthcare Representative,2026-H1,58.3,100.0,33.3,0.0,66.7,100.0,3,4
38,Sales,Manager,2026-H1,38.3,0.0,66.7,33.3,33.3,100.0,3,2
39,Research & Development,Laboratory Technician,2026-H1,80.0,100.0,66.7,66.7,66.7,100.0,3,3
40,Research & Development,Healthcare Representative,2026-H1,91.7,100.0,66.7,100.0,100.0,100.0,3,5
41,Research & Development,Laboratory Technician,2026-H1,58.3,66.7,33.3,100.0,66.7,0.0,3,5
42,Sales,Sales Representative,2026-H1,88.3,100.0,66.7,100.0,100.0,66.7,3,6
45,Research & Development,Research Scientist,2026-H1,58.3,100.0,66.7,33.3,33.3,0.0,3,2
46,Research & Development,Research Scientist,2026-H1,80.0,66.7,100.0,100.0,33.3,100.0,3,3
47,Sales,Sales Representative,2026-H1,45.0,66.7,33.3,0.0,66.7,66.7,3,2
49,Sales,Sales Representative,2026-H1,76.7,100.0,66.7,100.0,66.7,0.0,3,3
51,Research & Development,Research Scientist,2026-H1,40.0,0.0,33.3,33.3,100.0,100.0,3,3
52,Sales,Sales Executive,2026-H1,48.3,0.0,100.0,66.7,66.7,0.0,3,3
53,Research & Development,Laboratory Technician,2026-H1,76.7,100.0,66.7,66.7,66.7,66.7,3,3
54,Research & Development,Laboratory Technician,2026-H1,56.7,0.0,66.7,100.0,66.7,100.0,3,6
55,Research & Development,Laboratory Technician,2026-H1,31.7,66.7,0.0,0.0,33.3,66.7,3,2
56,Sales,Sales Executive,2026-H1,76.7,66.7,66.7,100.0,66.7,100.0,3,0
57,Research & Development,Laboratory Technician,2026-H1,80.0,100.0,66.7,66.7,66.7,100.0,4,2
58,Research & Development,Research Director,2026-H1,63.4,66.7,66.7,33.3,66.7,100.0,3,0
60,Sales,Sales Executive,2026-H1,60.0,66.7,66.7,33.3,66.7,66.7,4,2
61,Research & Development,Research Scientist,2026-H1,43.3,33.3,66.7,33.3,66.7,0.0,4,1
62,Sales,Sales Executive,2026-H1,63.4,100.0,66.7,0.0,66.7,66.7,4,4
63,Research & Development,Laboratory Technician,2026-H1,95.0,100.0,100.0,100.0,66.7,100.0,3,2
64,Research & Development,Laboratory Technician,2026-H1,48.3,66.7,33.3,0.0,66.7,100.0,3,2
65,Research & Development,Laboratory Technician,2026-H1,61.7,66.7,66.7,66.7,33.3,66.7,3,3
68,Sales,Sales Executive,2026-H1,35.0,0.0,66.7,33.3,33.3,66.7,4,2
70,Research & Development,Healthcare Representative,2026-H1,38.3,0.0,33.3,66.7,66.7,66.7,3,3
72,Sales,Sales Executive,2026-H1,63.3,100.0,33.3,66.7,33.3,66.7,3,2
73,Research & Development,Research Director,2026-H1,63.4,100.0,66.7,0.0,66.7,66.7,3,1
74,Sales,Sales Executive,2026-H1,38.3,0.0,66.7,33.3,33.3,100.0,4,3
75,Research & Development,Laboratory Technician,2026-H1,46.7,0.0,66.7,66.7,66.7,66.7,3,3
76,Research & Development,Laboratory Technician,2026-H1,81.7,100.0,66.7,100.0,33.3,100.0,4,3
77,Research & Development,Manufacturing Director,2026-H1,50.0,66.7,33.3,0.0,100.0,66.7,3,2
78,Research & Development,Manufacturing Director,2026-H1,60.0,100.0,66.7,0.0,66.7,33.3,4,3
79,Research & Development,Laboratory Technician,2026-H1,86.7,100.0,66.7,100.0,66.7,100.0,3,2
80,Research & Development,Research Director,2026-H1,50.0,66.7,33.3,33.3,33.3,100.0,3,2
81,Sales,Sales Executive,2026-H1,31.7,0.0,66.7,0.0,33.3,100.0,3,3
83,Research & Development,Healthcare Representative,2026-H1,63.4,66.7,66.7,66.7,66.7,33.3,3,2
84,Research & Development,Manager,2026-H1,73.4,66.7,66.7,100.0,66.7,66.7,3,2
85,Research & Development,Manufacturing Director,2026-H1,41.6,33.3,33.3,33.3,66.7,66.7,3,3
86,Research & Development,Research Scientist,2026-H1,40.0,0.0,66.7,33.3,66.7,66.7,3,2
88,Research & Development,Research Scientist,2026-H1,38.3,0.0,66.7,33.3,33.3,100.0,3,2
90,Research & Development,Research Scientist,2026-H1,53.3,66.7,33.3,100.0,33.3,0.0,3,0
91,Sales,Sales Executive,2026-H1,43.3,66.7,33.3,0.0,33.3,100.0,3,2
94,Research & Development,Research Scientist,2026-H1,60.0,33.3,66.7,66.7,66.7,100.0,4,3
95,Research & Development,Research Scientist,2026-H1,53.3,33.3,66.7,66.7,66.7,33.3,3,4
96,Research & Development,Research Scientist,2026-H1,46.7,33.3,66.7,33.3,66.7,33.3,3,3
97,Research & Development,Laboratory Technician,2026-H1,75.0,100.0,100.0,33.3,66.7,33.3,3,3
98,Research & Development,Manufacturing Director,2026-H1,80.0,100.0,66.7,66.7,66.7,100.0,4,2
100,Sales,Sales Executive,2026-H1,35.0,0.0,33.3,66.7,66.7,33.3,3,2
101,Research & Development,Research Director,2026-H1,55.0,0.0,66.7,100.0,100.0,33.3,3,3
102,Research & Development,Research Director,2026-H1,51.7,66.7,66.7,0.0,100.0,0.0,3,3
103,Human Resources,Human Resources,2026-H1,53.3,33.3,66.7,33.3,66.7,100.0,4,2
104,Research & Development,Laboratory Technician,2026-H1,70.0,100.0,33.3,100.0,33.3,66.7,3,1
105,Research & Development,Research Scientist,2026-H1,45.0,66.7,33.3,33.3,66.7,0.0,3,3
106,Sales,Sales Executive,2026-H1,66.7,100.0,66.7,0.0,66.7,100.0,3,4
107,Research & Development,Research Scientist,2026-H1,56.7,100.0,0.0,33.3,66.7,100.0,3,3
110,Research & Development,Manufacturing Director,2026-H1,43.3,33.3,66.7,0.0,66.7,66.7,3,2
112,Research & Development,Manufacturing Director,2026-H1,55.0,100.0,0.0,100.0,33.3,0.0,3,3
113,Sales,Sales Representative,2026-H1,46.7,0.0,66.7,66.7,66.7,66.7,3,3
116,Research & Development,Laboratory Technician,2026-H1,80.0,100.0,66.7,100.0,66.7,33.3,4,4
117,Research & Development,Healthcare Representative,2026-H1,61.7,100.0,33.3,66.7,66.7,0.0,3,3
118,Sales,Sales Executive,2026-H1,71.7,100.0,33.3,66.7,66.7,100.0,3,3
119,Research & Development,Healthcare Representative,2026-H1,46.6,33.3,33.3,66.7,33.3,100.0,4,3
120,Sales,Sales Executive,2026-H1,70.0,100.0,66.7,66.7,0.0,100.0,4,2
121,Sales,Sales Executive,2026-H1,40.0,33.3,33.3,66.7,33.3,33.3,3,4
124,Research & Development,Healthcare Representative,2026-H1,33.3,0.0,33.3,66.7,33.3,66.7,3,5
125,Sales,Sales Executive,2026-H1,53.4,66.7,66.7,33.3,66.7,0.0,3,0
126,Research & Development,Research Director,2026-H1,36.7,66.7,66.7,0.0,0.0,0.0,3,5
128,Sales,Sales Executive,2026-H1,41.7,66.7,66.7,0.0,33.3,0.0,4,2
129,Sales,Sales Executive,2026-H1,61.7,66.7,66.7,33.3,100.0,33.3,3,3
131,Sales,Sales Executive,2026-H1,68.4,66.7,66.7,100.0,33.3,66.7,3,1
132,Research & Development,Laboratory Technician,2026-H1,55.0,33.3,66.7,33.3,100.0,66.7,3,3
133,Human Resources,Human Resources,2026-H1,50.0,0.0,66.7,66.7,66.7,100.0,4,3
134,Research & Development,Research Scientist,2026-H1,56.7,0.0,66.7,100.0,66.7,100.0,3,2
137,Research & Development,Laboratory Technician,2026-H1,71.7,100.0,33.3,100.0,66.7,33.3,3,5
138,Research & Development,Research Scientist,2026-H1,53.4,66.7,66.7,0.0,66.7,66.7,3,3
139,Research & Development,Healthcare Representative,2026-H1,76.7,100.0,33.3,66.7,100.0,100.0,3,2
140,Human Resources,Manager,2026-H1,71.7,100.0,33.3,66.7,66.7,100.0,4,3
141,Research & Development,Research Director,2026-H1,31.7,33.3,66.7,0.0,33.3,0.0,3,1
142,Sales,Sales Executive,2026-H1,61.7,66.7,33.3,66.7,66.7,100.0,3,1
143,Research & Development,Research Scientist,2026-H1,75.0,100.0,33.3,100.0,66.7,66.7,3,2
144,Research & Development,Laboratory Technician,2026-H1,70.0,100.0,66.7,33.3,66.7,66.7,3,5
145,Research & Development,Healthcare Representative,2026-H1,20.0,0.0,33.3,0.0,33.3,66.7,4,1
147,Research & Development,Laboratory Technician,2026-H1,40.0,66.7,0.0,0.0,66.7,100.0,4,3
148,Human Resources,Manager,2026-H1,91.7,100.0,100.0,100.0,66.7,66.7,3,3
150,Research & Development,Laboratory Technician,2026-H1,60.0,66.7,66.7,33.3,66.7,66.7,3,2
151,Research & Development,Research Scientist,2026-H1,48.3,33.3,33.3,66.7,66.7,66.7,3,3
152,Sales,Sales Executive,2026-H1,70.0,100.0,66.7,66.7,66.7,0.0,3,3
153,Research & Development,Manager,2026-H1,41.7,0.0,33.3,66.7,66.7,100.0,3,6
154,Sales,Sales Executive,2026-H1,70.0,100.0,66.7,33.3,66.7,66.7,3,6
155,Research & Development,Laboratory Technician,2026-H1,56.7,100.0,66.7,0.0,66.7,0.0,4,2
158,Sales,Manager,2026-H1,85.0,100.0,66.7,66.7,100.0,100.0,3,3
159,Research & Development,Research Scientist,2026-H1,31.7,66.7,0.0,0.0,33.3,66.7,4,2
160,Sales,Sales Executive,2026-H1,55.0,33.3,66.7,66.7,100.0,0.0,3,2
161,Research & Development,Research Scientist,2026-H1,43.3,33.3,66.7,33.3,66.7,0.0,3,2
162,Research & Development,Research Director,2026-H1,53.4,66.7,66.7,0.0,66.7,66.7,3,5
163,Sales,Sales Executive,2026-H1,35.0,66.7,0.0,33.3,33.3,33.3,3,3
164,Research & Development,Research Scientist,2026-H1,43.3,33.3,33.3,66.7,33.3,66.7,3,3
165,Research & Development,Healthcare Representative,2026-H1,81.7,100.0,66.7,100.0,33.3,100.0,3,3
167,Sales,Sales Representative,2026-H1,71.7,66.7,66.7,100.0,33.3,100.0,3,2
169,Research & Development,Laboratory Technician,2026-H1,76.7,100.0,66.7,66.7,66.7,66.7,3,2
170,Research & Development,Manufacturing Director,2026-H1,41.7,0.0,66.7,66.7,33.3,66.7,3,2
171,Research & Development,Research Scientist,2026-H1,71.7,66.7,100.0,33.3,66.7,100.0,3,2
174,Sales,Sales Executive,2026-H1,80.0,100.0,66.7,66.7,66.7,100.0,3,3
175,Sales,Sales Executive,2026-H1,43.3,66.7,0.0,33.3,66.7,66.7,3,2
176,Sales,Sales Executive,2026-H1,66.7,66.7,66.7,66.7,66.7,66.7,3,2
177,Human Resources,Human Resources,2026-H1,70.0,66.7,66.7,66.7,66.7,100.0,4,3
178,Research & Development,Manufacturing Director,2026-H1,53.3,33.3,66.7,33.3,66.7,100.0,4,0
179,Research & Development,Manufacturing Director,2026-H1,50.0,100.0,0.0,0.0,66.7,100.0,3,2
182,Sales,Sales Executive,2026-H1,70.0,66.7,33.3,100.0,100.0,66.7,3,1
183,Sales,Sales Executive,2026-H1,48.3,66.7,33.3,0.0,66.7,100.0,3,3
184,Human Resources,Human Resources,2026-H1,70.0,100.0,66.7,66.7,0.0,100.0,3,2
190,Research & Development,Laboratory Technician,2026-H1,31.7,0.0,66.7,0.0,100.0,0.0,4,2
192,Research & Development,Research Scientist,2026-H1,68.3,100.0,66.7,66.7,33.3,33.3,3,2
193,Research & Development,Research Scientist,2026-H1,70.0,66.7,66.7,100.0,66.7,33.3,4,2
194,Research & Development,Research Scientist,2026-H1,48.4,66.7,66.7,0.0,33.3,66.7,3,4
195,Sales,Sales Executive,2026-H1,75.0,100.0,0.0,100.0,100.0,100.0,3,2
197,Research & Development,Research Scientist,2026-H1,56.7,0.0,66.7,100.0,66.7,100.0,3,3
198,Research & Development,Laboratory Technician,2026-H1,65.0,100.0,33.3,33.3,66.7,100.0,3,3
199,Research & Development,Manager,2026-H1,36.6,0.0,33.3,100.0,33.3,33.3,3,2
200,Research & Development,Laboratory Technician,2026-H1,50.0,0.0,66.7,66.7,66.7,100.0,4,2
201,Research & Development,Laboratory Technician,2026-H1,53.3,33.3,66.7,33.3,66.7,100.0,3,3
202,Research & Development,Research Scientist,2026-H1,43.3,33.3,66.7,33.3,66.7,0.0,3,2
204,Sales,Sales Executive,2026-H1,50.0,33.3,66.7,66.7,66.7,0.0,3,3
205,Sales,Sales Representative,2026-H1,53.3,66.7,66.7,33.3,0.0,100.0,4,3
206,Research & Development,Laboratory Technician,2026-H1,40.0,33.3,66.7,33.3,0.0,66.7,3,2
207,Sales,Sales Executive,2026-H1,73.3,100.0,66.7,33.3,66.7,100.0,3,2
208,Research & Development,Manufacturing Director,2026-H1,66.7,66.7,66.7,100.0,66.7,0.0,3,1
211,Research & Development,Manufacturing Director,2026-H1,51.7,66.7,33.3,33.3,66.7,66.7,3,2
214,Research & Development,Research Scientist,2026-H1,33.3,33.3,33.3,33.3,33.3,33.3,4,3
215,Sales,Sales Executive,2026-H1,56.7,100.0,33.3,66.7,33.3,0.0,3,2
216,Sales,Sales Representative,2026-H1,70.0,66.7,66.7,66.7,66.7,100.0,3,3
217,Research & Development,Research Scientist,2026-H1,70.0,100.0,66.7,66.7,66.7,0.0,4,6
218,Research & Development,Research Scientist,2026-H1,56.7,33.3,66.7,100.0,0.0,100.0,3,1
221,Research & Development,Research Scientist,2026-H1,66.7,100.0,66.7,66.7,0.0,66.7,3,2
223,Research & Development,Healthcare Representative,2026-H1,71.7,100.0,100.0,66.7,0.0,33.3,3,2
224,Research & Development,Research Scientist,2026-H1,56.7,66.7,33.3,66.7,33.3,100.0,3,2
226,Research & Development,Manager,2026-H1,53.3,33.3,66.7,66.7,66.7,33.3,3,5
227,Research & Development,Research Scientist,2026-H1,46.7,66.7,66.7,0.0,66.7,0.0,3,2
228,Sales,Sales Executive,2026-H1,70.0,100.0,66.7,33.3,66.7,66.7,3,2
230,Sales,Sales Executive,2026-H1,60.0,100.0,33.3,0.0,100.0,66.7,4,2
231,Research & Development,Research Scientist,2026-H1,60.0,66.7,66.7,66.7,66.7,0.0,4,2
233,Research & Development,Research Scientist,2026-H1,55.0,33.3,66.7,66.7,33.3,100.0,3,3
235,Sales,Sales Representative,2026-H1,28.3,0.0,0.0,66.7,100.0,0.0,4,5
238,Research & Development,Laboratory Technician,2026-H1,58.3,33.3,66.7,100.0,33.3,66.7,3,3
239,Research & Development,Laboratory Technician,2026-H1,46.7,0.0,66.7,66.7,66.7,66.7,3,4
240,Sales,Sales Executive,2026-H1,45.0,0.0,66.7,66.7,100.0,0.0,3,3
241,Research & Development,Research Scientist,2026-H1,46.7,0.0,66.7,66.7,66.7,66.7,3,3
242,Research & Development,Research Scientist,2026-H1,75.0,100.0,66.7,66.7,100.0,0.0,3,2
243,Research & Development,Laboratory Technician,2026-H1,56.6,100.0,33.3,33.3,33.3,66.7,4,3
244,Sales,Sales Executive,2026-H1,40.0,0.0,66.7,33.3,66.7,66.7,4,2
245,Research & Development,Laboratory Technician,2026-H1,76.7,100.0,66.7,66.7,66.7,66.7,3,3
246,Research & Development,Research Scientist,2026-H1,76.7,100.0,66.7,66.7,66.7,66.7,4,0
247,Research & Development,Research Scientist,2026-H1,66.7,33.3,66.7,100.0,66.7,100.0,3,3
248,Sales,Sales Representative,2026-H1,48.3,33.3,66.7,33.3,33.3,100.0,4,5
249,Research & Development,Laboratory Technician,2026-H1,56.7,66.7,33.3,66.7,33.3,100.0,3,2
250,Research & Development,Manufacturing Director,2026-H1,61.7,0.0,100.0,100.0,66.7,66.7,3,3
252,Research & Development,Research Scientist,2026-H1,66.7,33.3,66.7,100.0,66.7,100.0,3,5
253,Research & Development,Manager,2026-H1,70.0,66.7,66.7,100.0,66.7,33.3,3,2
254,Research & Development,Research Director,2026-H1,68.3,33.3,100.0,66.7,66.7,100.0,3,3
256,Research & Development,Manufacturing Director,2026-H1,60.0,66.7,33.3,100.0,33.3,66.7,3,2
258,Research & Development,Healthcare Representative,2026-H1,63.3,33.3,66.7,100.0,66.7,66.7,3,6
259,Research & Development,Manager,2026-H1,51.7,66.7,33.3,66.7,66.7,0.0,3,5
260,Research & Development,Research Scientist,2026-H1,61.7,33.3,66.7,100.0,33.3,100.0,3,2
261,Research & Development,Manufacturing Director,2026-H1,45.0,66.7,33.3,33.3,66.7,0.0,3,1
262,Research & Development,Research Scientist,2026-H1,100.0,100.0,100.0,100.0,100.0,100.0,3,3
264,Research & Development,Manager,2026-H1,58.3,100.0,33.3,0.0,66.7,100.0,4,1
267,Research & Development,Research Scientist,2026-H1,36.7,0.0,100.0,33.3,33.3,0.0,3,3
269,Research & Development,Laboratory Technician,2026-H1,53.3,33.3,66.7,33.3,66.7,100.0,3,5
270,Research & Development,Manufacturing Director,2026-H1,63.4,66.7,66.7,66.7,66.7,33.3,3,5
271,Research & Development,Manufacturing Director,2026-H1,70.0,66.7,66.7,100.0,66.7,33.3,3,3
273,Research & Development,Manufacturing Director,2026-H1,66.7,100.0,66.7,100.0,0.0,0.0,3,3
274,Research & Development,Manufacturing Director,2026-H1,38.3,0.0,33.3,66.7,66.7,66.7,3,1
275,Research & Development,Manufacturing Director,2026-H1,76.7,100.0,66.7,100.0,66.7,0.0,3,0
277,Research & Development,Research Scientist,2026-H1,81.7,66.7,66.7,100.0,100.0,100.0,3,4
281,Research & Development,Laboratory Technician,2026-H1,81.7,100.0,66.7,66.7,100.0,66.7,3,2
282,Research & Development,Healthcare Representative,2026-H1,36.7,0.0,66.7,33.3,66.7,33.3,3,2
283,Sales,Sales Executive,2026-H1,68.3,100.0,66.7,33.3,33.3,100.0,4,3
284,Research & Development,Research Scientist,2026-H1,60.0,33.3,100.0,100.0,33.3,0.0,3,2
286,Research & Development,Laboratory Technician,2026-H1,63.3,100.0,66.7,33.3,66.7,0.0,3,2
287,Research & Development,Healthcare Representative,2026-H1,68.3,100.0,33.3,100.0,0.0,100.0,3,5
288,Research & Development,Healthcare Representative,2026-H1,53.4,0.0,66.7,100.0,66.7,66.7,3,3
291,Sales,Sales Executive,2026-H1,61.7,100.0,0.0,100.0,33.3,66.7,3,2
292,Research & Development,Manufacturing Director,2026-H1,58.4,66.7,33.3,66.7,66.7,66.7,4,2
293,Sales,Sales Executive,2026-H1,76.7,66.7,66.7,100.0,66.7,100.0,3,2
296,Research & Development,Research Director,2026-H1,35.0,33.3,33.3,33.3,0.0,100.0,3,5
297,Research & Development,Research Scientist,2026-H1,53.4,0.0,66.7,100.0,66.7,66.7,3,5
298,Sales,Manager,2026-H1,83.4,100.0,66.7,100.0,66.7,66.7,3,3
299,Sales,Sales Executive,2026-H1,33.3,0.0,33.3,66.7,33.3,66.7,3,5
300,Research & Development,Research Scientist,2026-H1,65.0,66.7,66.7,66.7,33.3,100.0,3,1
302,Sales,Sales Executive,2026-H1,78.3,100.0,33.3,100.0,66.7,100.0,3,2
303,Sales,Sales Executive,2026-H1,56.7,0.0,66.7,100.0,66.7,100.0,3,4
304,Research & Development,Laboratory Technician,2026-H1,71.7,33.3,66.7,100.0,100.0,100.0,3,3
305,Research & Development,Research Scientist,2026-H1,51.7,33.3,33.3,66.7,66.7,100.0,4,3
306,Research & Development,Research Director,2026-H1,70.0,100.0,66.7,33.3,66.7,66.7,3,1
307,Sales,Sales Executive,2026-H1,48.4,66.7,66.7,0.0,33.3,66.7,3,6
308,Research & Development,Manufacturing Director,2026-H1,53.4,66.7,0.0,66.7,66.7,100.0,3,2
309,Research & Development,Research Scientist,2026-H1,61.7,100.0,33.3,66.7,66.7,0.0,3,6
311,Sales,Sales Representative,2026-H1,63.4,100.0,66.7,0.0,66.7,66.7,3,2
312,Sales,Sales Executive,2026-H1,73.3,100.0,66.7,33.3,66.7,100.0,3,5
314,Sales,Sales Executive,2026-H1,65.0,66.7,66.7,66.7,100.0,0.0,3,3
315,Research & Development,Research Scientist,2026-H1,63.3,100.0,33.3,66.7,33.3,66.7,3,3
316,Research & Development,Laboratory Technician,2026-H1,60.0,100.0,33.3,66.7,33.3,33.3,3,3
319,Research & Development,Manager,2026-H1,80.0,100.0,66.7,66.7,66.7,100.0,3,3
321,Human Resources,Human Resources,2026-H1,58.3,66.7,66.7,33.3,33.3,100.0,3,2
323,Sales,Manager,2026-H1,78.3,100.0,66.7,100.0,33.3,66.7,3,3
325,Research & Development,Laboratory Technician,2026-H1,66.7,100.0,66.7,66.7,0.0,66.7,3,2
327,Sales,Manager,2026-H1,83.4,100.0,66.7,100.0,66.7,66.7,4,3
328,Research & Development,Laboratory Technician,2026-H1,31.7,0.0,66.7,0.0,100.0,0.0,4,3
329,Sales,Manager,2026-H1,53.3,66.7,33.3,0.0,100.0,100.0,3,2
330,Sales,Sales Representative,2026-H1,50.0,33.3,66.7,66.7,66.7,0.0,3,5
331,Research & Development,Laboratory Technician,2026-H1,58.3,66.7,33.3,100.0,0.0,100.0,3,2
332,Research & Development,Laboratory Technician,2026-H1,66.7,66.7,66.7,66.7,66.7,66.7,3,1
333,Sales,Sales Executive,2026-H1,70.0,100.0,66.7,66.7,66.7,0.0,3,2
334,Research & Development,Research Scientist,2026-H1,35.0,0.0,66.7,66.7,33.3,0.0,3,2
335,Research & Development,Research Scientist,2026-H1,56.7,100.0,66.7,0.0,66.7,0.0,3,3
336,Research & Development,Manager,2026-H1,85.0,100.0,100.0,66.7,66.7,66.7,3,2
337,Research & Development,Research Director,2026-H1,53.4,66.7,66.7,33.3,66.7,0.0,3,3
338,Research & Development,Research Scientist,2026-H1,63.3,100.0,33.3,66.7,33.3,66.7,3,2
339,Research & Development,Manufacturing Director,2026-H1,41.7,0.0,33.3,100.0,66.7,33.3,3,3
340,Research & Development,Research Scientist,2026-H1,26.7,0.0,33.3,66.7,33.3,0.0,3,2
341,Research & Development,Manufacturing Director,2026-H1,65.0,66.7,100.0,0.0,66.7,100.0,3,1
342,Research & Development,Manufacturing Director,2026-H1,50.0,66.7,66.7,0.0,66.7,33.3,3,5
343,Research & Development,Healthcare Representative,2026-H1,70.0,66.7,66.7,66.7,66.7,100.0,4,1
346,Research & Development,Research Scientist,2026-H1,70.0,100.0,66.7,66.7,66.7,0.0,3,1
347,Research & Development,Research Scientist,2026-H1,61.7,0.0,100.0,100.0,66.7,66.7,3,1
349,Sales,Sales Executive,2026-H1,86.7,100.0,66.7,100.0,66.7,100.0,3,2
350,Research & Development,Manufacturing Director,2026-H1,56.7,66.7,66.7,0.0,66.7,100.0,3,3
351,Research & Development,Laboratory Technician,2026-H1,45.0,0.0,33.3,100.0,66.7,66.7,3,4
352,Research & Development,Research Director,2026-H1,56.7,66.7,66.7,0.0,66.7,100.0,3,5
353,Research & Development,Research Scientist,2026-H1,68.3,100.0,66.7,66.7,33.3,33.3,3,0
355,Research & Development,Laboratory Technician,2026-H1,50.0,33.3,33.3,66.7,100.0,33.3,3,2
359,Research & Development,Laboratory Technician,2026-H1,48.3,33.3,100.0,33.3,0.0,66.7,4,3
361,Sales,Sales Executive,2026-H1,78.3,100.0,33.3,100.0,66.7,100.0,3,0
362,Research & Development,Laboratory Technician,2026-H1,48.3,0.0,33.3,100.0,66.7,100.0,3,5
363,Sales,Manager,2026-H1,31.7,33.3,0.0,66.7,33.3,33.3,3,2
364,Research & Development,Laboratory Technician,2026-H1,43.4,66.7,66.7,0.0,0.0,66.7,3,5
366,Sales,Sales Executive,2026-H1,31.6,33.3,33.3,0.0,66.7,33.3,3,2
367,Research & Development,Healthcare Representative,2026-H1,58.3,100.0,33.3,33.3,66.7,33.3,4,2
369,Research & Development,Healthcare Representative,2026-H1,51.7,0.0,100.0,33.3,66.7,100.0,3,2
372,Research & Development,Healthcare Representative,2026-H1,73.4,100.0,66.7,66.7,66.7,33.3,3,2
373,Research & Development,Laboratory Technician,2026-H1,83.4,100.0,66.7,100.0,66.7,66.7,3,4
374,Research & Development,Manager,2026-H1,53.4,0.0,66.7,100.0,66.7,66.7,3,2
376,Research & Development,Manager,2026-H1,41.7,33.3,66.7,0.0,33.3,100.0,3,2
377,Research & Development,Research Scientist,2026-H1,81.7,100.0,66.7,100.0,33.3,100.0,4,3
378,Sales,Sales Executive,2026-H1,78.3,100.0,66.7,66.7,100.0,33.3,3,5
379,Research & Development,Research Scientist,2026-H1,63.3,66.7,33.3,100.0,100.0,0.0,3,4
380,Research & Development,Research Director,2026-H1,56.7,100.0,66.7,0.0,66.7,0.0,3,2
381,Research & Development,Manager,2026-H1,50.0,33.3,100.0,33.3,33.3,33.3,3,6
382,Sales,Sales Executive,2026-H1,41.7,0.0,100.0,0.0,66.7,66.7,4,3
384,Research & Development,Manufacturing Director,2026-H1,40.0,33.3,66.7,66.7,0.0,0.0,4,6
385,Research & Development,Research Director,2026-H1,31.7,33.3,66.7,0.0,33.3,0.0,3,4
386,Research & Development,Research Director,2026-H1,65.0,66.7,66.7,66.7,33.3,100.0,3,5
